,Values,,,,
Row Labels,Sum of MURDER,Sum of RAPE,Sum of KIDNAPPING & ABDUCTION,Sum of THEFT,Sum of DOWRY DEATHS
A & N ISLANDS,320,218,188,2248,12
ANDHRA PRADESH,63512,26958,42478,574380,12430
ARUNACHAL PRADESH,1682,1000,1714,10356,4
ASSAM,30864,32356,55878,170950,2552
BIHAR,82490,26248,74440,306744,27096
CHANDIGARH,486,562,1280,36948,84
CHHATTISGARH,24120,23676,6690,125746,2284
D & N HAVELI,216,112,282,1546,2
DAMAN & DIU,136,40,62,1128,6
DELHI UT,12410,12848,50166,463092,3164
GOA,974,700,472,16090,38
GUJARAT,27550,8498,30492,426414,1004
HARYANA,20942,12820,17312,262788,6260
HIMACHAL PRADESH,2908,3608,3596,19316,110
JAMMU & KASHMIR,12608,5620,19330,51534,270
JHARKHAND,38120,18318,16952,142644,6582
KARNATAKA,39874,10348,20058,399920,5836
KERALA,9466,14894,5782,124706,602
LAKSHADWEEP,6,14,2,226,0
MADHYA PRADESH,56798,72174,23916,527720,18072
MAHARASHTRA,65534,35972,30202,1113614,8498
MANIPUR,3910,774,3622,9668,4
MEGHALAYA,3460,2040,1458,12008,30
MIZORAM,806,1652,192,19606,8
NAGALAND,2076,440,784,7604,0
ODISHA,28906,22860,19458,165674,9110
PUDUCHERRY,714,154,338,14732,52
PUNJAB,18986,10918,15238,101006,3092
RAJASTHAN,31688,31596,61454,465948,10132
SIKKIM,332,390,152,2038,4
TAMIL NADU,40254,13904,30606,370320,4634
TRIPURA,4044,4116,2886,9246,628
UTTAR PRADESH,130886,38116,118532,624094,47648
UTTARAKHAND,5896,2756,5704,40070,1812
WEST BENGAL,42112,41574,51998,380936,10344
Grand Total,805086,478274,713714,7001060,182404
